,COD_APE,DATA_INS,RESIDENZIALE,NON_RESIDENZIALE,COMUNE_CATASTALE,SEZIONE_x,FOGLIO,PARTICELLA,SUBALTERNO_x,PROPRIETA_PUBBLICA,USO_PUBBLICO,CLASSIFICAZIONE_DPR,INTERO_EDIFICIO,UNITA_IMMOBILIARE,GRUPPO_UNITA_IMMOBILIARI,NUMERO_UNITA_IMMOBILIARI,NUOVA_COSTRUZIONE,PASSAGGIO_PROPRIETA,LOCAZIONE,RISTRUTTURAZIONE_IMPORTANTE,RIQUALIFICAZIONE_ENERGETICA,OGGETTO_ALTRO,OGGETTO_ALTRO_TXT,REGIONE,COMUNE_x,INDIRIZZO_x,PIANO,INTERNO,WGS84_X,WGS84_Y,location,ZONA_CLIMATICA,ANNO_COSTRUZIONE_x,SUPERF_UTILE_RISCALDATA,SUPERF_UTILE_RAFFRESCATA,VOLUME_LORDO_RISCALDATO,VOLUME_LORDO_RAFFRESCATO,CLIMATIZZAZIONE_INVERNALE,CLIMATIZZAZIONE_ESTIVA,VENTILAZIONE_MECCANICA,PROD_ACQUA_CALDA_SANITARIA,ILLUMINAZIONE,TRASPORTO_PERSONE_COSE,PI,PE,EDIFICIO_ENERGIA_QUASI_ZERO,CLASSE_ENERGETICA_x,EP_GL_NREN,Y,Z,EP_GL_REN,EMISSIONI_CO2,CONSUMI_ENERGIA_ELETTRICA,CONSUMI_GAS_NATURALE,CONSUMI_GPL,CONSUMI_CARBONE,CONSUMI_GASOLIO,CONSUMI_BIOMASSE_SOLIDE,CONSUMI_BIOMASSE_LIQUIDE,CONSUMI_BIOMASSE_GASSOSE,CONSUMI_SOLARE_FOTOVOLTAICO,CONSUMI_SOLARE_TERMICO,CONSUMI_EOLICO,CONSUMI_TELERISCALDAMENTO,CONSUMI_TELERAFFRESCAMENTO,CONSUMI_ALTRO,RIQ_CLASSE_RAGG,RIQ_EP_GL_NREN_RAGG,DS_CODICE_INTERVENTO_1,DS_TIPO_INTERVENTO_1,FL_COMPORTA_RISTRUT_1,NM_TEMPO_RITORNO_INVESTIM_1,DS_CLASSE_RAGGIUNGIBILE_1,NM_EP_GL_NREN_RAGGIUNG_1,DS_CODICE_INTERVENTO_2,DS_TIPO_INTERVENTO_2,FL_COMPORTA_RISTRUT_2,NM_TEMPO_RITORNO_INVESTIM_2,DS_CLASSE_RAGGIUNGIBILE_2,NM_EP_GL_NREN_RAGGIUNG_2,DS_CODICE_INTERVENTO_3,DS_TIPO_INTERVENTO_3,FL_COMPORTA_RISTRUT_3,NM_TEMPO_RITORNO_INVESTIM_3,DS_CLASSE_RAGGIUNGIBILE_3,NM_EP_GL_NREN_RAGGIUNG_3,DS_CODICE_INTERVENTO_4,DS_TIPO_INTERVENTO_4,FL_COMPORTA_RISTRUT_4,NM_TEMPO_RITORNO_INVESTIM_4,DS_CLASSE_RAGGIUNGIBILE_4,NM_EP_GL_NREN_RAGGIUNG_4,DS_CODICE_INTERVENTO_5,DS_TIPO_INTERVENTO_5,FL_COMPORTA_RISTRUT_5,NM_TEMPO_RITORNO_INVESTIM_5,DS_CLASSE_RAGGIUNGIBILE_5,NM_EP_GL_NREN_RAGGIUNG_5,DS_CODICE_INTERVENTO_6,DS_TIPO_INTERVENTO_6,FL_COMPORTA_RISTRUT_6,NM_TEMPO_RITORNO_INVESTIM_6,DS_CLASSE_RAGGIUNGIBILE_6,NM_EP_GL_NREN_RAGGIUNG_6,DS_CODICE_INTERVENTO_7,DS_TIPO_INTERVENTO_7,FL_COMPORTA_RISTRUT_7,NM_TEMPO_RITORNO_INVESTIM_7,DS_CLASSE_RAGGIUNGIBILE_7,NM_EP_GL_NREN_RAGGIUNG_7,ENERGIA_ESPORTATA,VETTORE_ENERGETICO,SUPERFICIE_DISPERDENTE_x,RAPPORTO_SV,EP_H_ND,A_SOL_EST_A_SUP_UTILE,Y_IE,CI_TIPO_IMPIANTO_1,CI_ANNO_INSTALLAZIONE_1,CI_CODICE_CATASTO_1,CI_VETTORE_ENERGETICO_1,CI_POTENZA_NOMINALE_1,CI_TIPO_IMPIANTO_2,CI_ANNO_INSTALLAZIONE_2,CI_VETTORE_ENERGETICO_2,CI_POTENZA_NOMINALE_2,CI_EFFICIENZA_MEDIA,CI_EPREN,CI_EPNREN,CE_TIPO_IMPIANTO_1,CE_ANNO_INSTALLAZIONE_1,CE_VETTORE_ENERGETICO_1,CE_POTENZA_NOMINALE_1,CE_TIPO_IMPIANTO_2,CE_ANNO_INSTALLAZIONE_2,CE_VETTORE_ENERGETICO_2,CE_POTENZA_NOMINALE_2,CE_EFFICIENZA_MEDIA,CE_EPREN,CE_EPNREN,PA_TIPO_IMPIANTO,PA_ANNO_INSTALLAZIONE,PA_VETTORE_ENERGETICO,PA_POTENZA_NOMINALE,PA_EFFICIENZA_MEDIA,PA_EPREN,PA_EPNREN,IC_TIPO_IMPIANTO,IC_ANNO_INSTALLAZIONE,IC_VETTORE_ENERGETICO,IC_POTENZA_NOMINALE,IC_EFFICIENZA_MEDIA,IC_EPREN,IC_EPNREN,PFR_TIPO_IMPIANTO_1,PFR_ANNO_INSTALLAZIONE_1,PFR_VETTORE_ENERGETICO_1,PFR_POTENZA_NOMINALE_1,PFR_EFFICIENZA_MEDIA_1,PFR_EPREN_1,PFR_EPNREN_1,PFR_TIPO_IMPIANTO_2,PFR_ANNO_INSTALLAZIONE_2,PFR_VETTORE_ENERGETICO_2,PFR_POTENZA_NOMINALE_2,PFR_EFFICIENZA_MEDIA_2,PFR_EPREN_2,PFR_EPNREN_2,VM_TIPO_IMPIANTO,VM_ANNO_INSTALLAZIONE,VM_VETTORE_ENERGETICO,VM_POTENZA_NOMINALE,VM_EFFICIENZA_MEDIA,VM_EPREN,VM_EPNREN,ILL_TIPO_IMPIANTO,ILL_ANNO_INSTALLAZIONE,ILL_VETTORE_ENERGETICO,ILL_POTENZA_NOMINALE,ILL_EFFICIENZA_MEDIA,ILL_EPREN,ILL_EPNREN,TPC_TIPO_IMPIANTO_1,TPC_ANNO_INSTALLAZIONE_1,TPC_VETTORE_ENERGETICO_1,TPC_POTENZA_NOMINALE_1,TPC_EFFICIENZA_MEDIA_1,TPC_EPREN_1,TPC_EPNREN_1,TPC_TIPO_IMPIANTO_2,TPC_ANNO_INSTALLAZIONE_2,TPC_VETTORE_ENERGETICO_2,TPC_POTENZA_NOMINALE_2,TPC_EFFICIENZA_MEDIA_2,TPC_EPREN_2,TPC_EPNREN_2,SOPRALLUOGO,SW_REQUISITI,SW_SEMPLIFICATO,Limiti amministrativi 2015 delle province di Regione Lombardia,ENTE_PUBBLICO,ATS Regione Lombardia,Limiti amministrativi 2014 delle province di Regione Lombardia,TECNICO_ABILITATO,SOCIETA,NOME_DENOMINAZIONE_CERT,TITOLO_CERT,ORDINE_CERT,CODICE_IDENTIFICATIVO_PRATICA,DATA_CHIUSURA_PRATICA,INDIRIZZO_y,PROVINCIA,COMUNE_y,SEZIONE_y,SUBALTERNO_y,NOME_CERTIFICATORE,COGNOME_CERTIFICATORE,EDIFICIO_PUBBLICO,DESTINAZIONE_DI_USO,ANNO_COSTRUZIONE_y,MOTIVAZIONE_APE,SUPERFICIE_LORDA,SUPERFICIE_NETTA,VOLUME_LORDO,VOLUME_NETTO,SUPERFICIE_DISPERDENTE_y,SUPERFICIE_VETRATA_OPACA,TRASMITTANZA_MEDIA_INVOLUCRO,TRASMITTANZA_MEDIA_COPERTURA,TRASMITTANZA_MEDIA_BASAMENTO,TRASMITTANZA_MEDIA_SERRAMENTO,CLASSE_ENERGETICA_y,EPH,ETH,ETC,EFER,EMISSIONI_DI_CO2,EPW,EPT,EF_GLOB_MEDIA_RISCALDAMENTO,EF_GLOB_MEDIA_ACQUA_CALDA_SAN,EGHW,TIPOLOGIA_VENTILAZIONE,NUMERO_RICAMBI_ORARI,TIPOLOGIA_PANNELLO_ST,TIPOLOGIA_PANNELLO_FV,SUPERFICIE_CAPTANTE_FV,SUPERFICIE_APERTURA_ST,SUP_PAN_FV_SUP_UTILE,SUP_PAN_ST_SUP_UTILE,TIPOLOGIA_COMBUSTIBILE,TIPOLOGIA_GENERATORE,POTENZA_GENERATORE,surfdiff
67,1703300000920,14/02/2020,False,True,CALVAGESE DELLA RIVIERA,NCT,12,29,1,False,False,E.2,True,False,False,1.0,False,False,True,False,False,False,,Lombardia,CALVAGESE DELLA RIVIERA,Via Polpenazze 10,1,,45.52851694012312,10.473222255379293,"(45.52851694012312, 10.473222255379293)",E,Dopo il 2006,131.16,131.16,538.82,538.82,True,True,True,True,True,False,red,yellow,False,C,237.13,"A1 (173,31)",,205.3,52.68,15949.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19430.0,B,203.69,1.0,Fabbricato - involucro opaco,No,44.8,5.0,206.78,2.0,Fabbricato - involucro trasparente,No,80.7,5.0,231.96,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Cumulativo,No,53.2,5.0,203.69,0.0,,394.23,0.73,233.21,0.06,0.07,Pompa di calore,2008.0,,Energia elettrica,25.0,,,,,2.06,175.44,113.26,Pompa di calore,2008.0,Energia elettrica,25.4,,,,,0.29,5.83,24.19,Scalda-acqua,2008.0,Energia elettrica,1.5,0.36,1.61,6.67,,,,,,,,Pompa di calore,2008.0,Energia elettrica,25.0,,,,,,,,,,,,,,0.11,,1.16,4.83,,,,2.62,,21.25,88.18,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,6.0,False,2.0,6.0,True,False,Davide Bregoli,Laurea magistrale in ingegneria,Ordine degli ingegneri,2001700007411,03-FEB-11,"VIA CONTE CAMILLO BENSO DI CAVOUR, 57",MN,CASTIGLIONE DELLE STIVIERE,,329,Federico,Rossi,NO,E.5,1977-1992,Trasferimento a titolo oneroso,400,380,1580.0,"1,201",410.6,0.0,2.1618,,1.8,,F,54.6781,34.852,0.9163,0,10.9138,0,54.6781,0.64,0.0,0.64,Ventilazione meccanica doppio flusso,1.7100,,,,,,,Gas naturale,Generatore tradizionale,1650.00,0.04152398346143115
114,1211900086517,31/12/2017,True,False,SARONNO,CA,5,32,0,False,False,E.1(1),True,False,False,1.0,False,False,True,False,False,True,Annuncio commerciale,Lombardia,SARONNO,Via Padre Giovanni Battista Busnelli 60,,,45.63958256864529,9.054942209245107,"(45.63958256864529, 9.054942209245107)",E,1961-1976,166.42,0.0,676.13,0.0,True,False,False,True,False,False,red,yellow,False,D,175.41,"A3 (46,35)",,572.27,6.59,857.04,365.19,0.0,0.0,0.0,24192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,Fabbricato - involucro trasparente,No,10.0,7.0,168.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,653.77,0.97,329.97,0.01,0.49,Generatore a biomassa,2017.0,,Biomasse solide,32.0,,,,,2.16,572.27,152.51,,,,,,,,,0.0,0.0,0.0,Scalda-acqua,2000.0,Gas naturale,18.0,0.65,0.0,22.9,,,,,,,,Generatore a biomassa,2017.0,Biomasse solide,32.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,1.0,False,3.0,1.0,True,False,Roberto Ceriani,Diploma di geometra,Collegio dei geometri,1516800019212,05-MAR-12,"VIA LUCIANO MANARA, 48",MI,PARABIAGO,,1,Claudio,Sinnato,NO,E.1(1),1946-1960,Ace volontario,291.84,257.94,1014.14,807.91,636.56,0.0861,2.25,1.4,1.5,5.2871,G,350.9042,277.4735,19.7476,0,70.1072,22.4117,373.3159,0.79,0.73,0.79,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,31.50,0.02632424247059369
151,1508600027216,26/06/2016,True,False,CORMANO,,2,177,0,False,False,E.1(1),True,False,False,1.0,False,False,False,True,False,True,Annuncio commerciale,Lombardia,CORMANO,Via Tiziano  18,,,,,,E,Dopo il 2006,128.44,0.0,564.41,0.0,True,False,False,True,False,False,red,yellow,False,G,295.2,"B (78,88)",,2.72,56.53,744.63,3493.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,350.06,0.62,115.87,0.01,0.42,Generatore a combustione,2015.0,,Gas naturale,11.9,,,,,0.43,2.38,268.67,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2015.0,Gas naturale,3.57,0.56,0.34,26.53,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,,False,,,True,False,Fabio Valneri,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali,10803800006714,20-NOV-14,"VIA CESARE BATTISTI,  SNC",MB,RONCO BRIANTINO,,12,Matteo,Fusè,NO,E.1(1),2014,Nuova costruzione,166.08,131.92,583.12,340.629,353.47,0.0632,0.2904,0.27899999999999997,0.245,1.5547,B,50.748,50.1613,16.4684,0,10.1379,33.9471,84.6951,0.99,0.63,0.84,Aerazione - Ventilazione naturale|Aerazione - Ventilazione naturale|Aerazione - Ventilazione naturale,0.3000|0.3000|0.3000,,,,,,,Gas naturale,Generatore ACS|Generatore a condensazione multistadio o modulante,21.10,0.009741187225047207
226,1908600003719,22/12/2019,True,False,ROMANENGO,,10,457,501,False,False,E.1 (1),True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,ROMANENGO,VIA CAMPO DEGLI ORTI 7,,,45.381023784643325,9.78897465704268,"(45.381023784643325, 9.78897465704268)",E,1993-2006,104.2,104.2,445.1,445.1,True,True,False,True,False,False,red,green,False,E,185.91,"A1 (86,8)",,1.84,35.62,407.42,1779.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,3.0,Impianto climatizzazione - inverno,No,7.0,7.0,167.78,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,280.9,0.63,127.09,0.02,0.04,Generatore a combustione,2011.0,KO4JB23064350503,Gas naturale,26.2,,,,,0.79,0.53,161.66,Pompa di calore,2007.0,Energia elettrica,3.5,,,,,1.22,1.24,5.14,Generatore a combustione,2011.0,Gas naturale,26.2,0.87,0.06,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,8.0,False,4.0,8.0,True,False,DANIELE CROTTI,Diploma di laurea in ingegneria,Ordine degli ingegneri,2002800007514,20-MAG-14,"VIA CIRCONVALLAZIONE, 46",MN,GUIDIZZOLO,,310,Francesca,Cappa,NO,E.5,1961-1976,Altro,116.85,101.75,444.05,305.25,287.005,0.0766,0.5043,,0.335,1.8675,C,14.5966,20.2183,6.8981,0,2.9006,43.006,57.6026,1.39,0.01,0.36,Aerazione - Ventilazione naturale|Aerazione - Ventilazione naturale,1.0000|1.0000,,,,,,,Energia elettrica,Generatore ACS|Pompa di calore,10.50,0.021733713065147806
294,1524900009719,27/12/2019,True,False,VANZAGHELLO,,8,67,706,False,False,E.1 (1),True,False,False,1.0,False,False,False,False,True,True,Annuncio commerciale,Lombardia,VANZAGHELLO,Via Giacomo Matteotti  54,,,45.581503789028865,8.783383232597819,"(45.581503789028865, 8.783383232597819)",E,1930-1945,16.72,16.72,70.22,70.22,True,True,False,True,False,False,red,yellow,False,E,371.31,"A1 (160,69)",,374.43,82.49,3183.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4764.0,,,1.0,Fabbricato - involucro opaco,No,5.0,7.0,308.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,84.2,1.2,382.03,0.05,0.14,Pompa di calore,2019.0,,Energia elettrica,3.67,,,,,1.41,350.36,271.46,Pompa di calore,2019.0,Energia elettrica,3.5,,,,,1.37,1.62,6.7,Scalda-acqua,2019.0,Energia elettrica,1.5,0.36,22.45,93.15,,,,,,,,Pompa di calore,2019.0,Energia elettrica,3.67,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,4.0,False,8.0,4.0,True,False,CLAUDIO ZARA,Diploma di laurea in ingegneria,,1713300027910,04-NOV-10,VIA GRAMSCI 7,BS,PALAZZOLO SULL'OGLIO,,55,Luigi,Giupponi,NO,E.1(1),prima del 1930,Contratto di locazione,93.98,76.61,311.51,226,85.58,0.1146,0.7892,,0.9309999999999999,2.189,C,64.7267,48.7289,15.1818,0,12.9313,35.9061,100.6328,0.75,0.57,0.69,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,25.80,0.016389548693586643
295,1524900009719,27/12/2019,True,False,VANZAGHELLO,,8,67,706,False,False,E.1 (1),True,False,False,1.0,False,False,False,False,True,True,Annuncio commerciale,Lombardia,VANZAGHELLO,Via Giacomo Matteotti  54,,,45.581503789028865,8.783383232597819,"(45.581503789028865, 8.783383232597819)",E,1930-1945,16.72,16.72,70.22,70.22,True,True,False,True,False,False,red,yellow,False,E,371.31,"A1 (160,69)",,374.43,82.49,3183.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4764.0,,,1.0,Fabbricato - involucro opaco,No,5.0,7.0,308.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,84.2,1.2,382.03,0.05,0.14,Pompa di calore,2019.0,,Energia elettrica,3.67,,,,,1.41,350.36,271.46,Pompa di calore,2019.0,Energia elettrica,3.5,,,,,1.37,1.62,6.7,Scalda-acqua,2019.0,Energia elettrica,1.5,0.36,22.45,93.15,,,,,,,,Pompa di calore,2019.0,Energia elettrica,3.67,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,4.0,False,8.0,4.0,True,False,CLAUDIO ZARA,Diploma di laurea in ingegneria,,1508100029511,10-MAG-11,"VIA PER MONZA, 1",MI,COLOGNO MONZESE,,702,Massimiliano,Tagliani,NO,E.1(1),1946-1960,Contratto di locazione,68.27,56.1,235.53,171.1,80.75,0.1115,1.7678,,,3.5077,G,245.1535,172.6439,9.367,0,48.975,47.2688,292.4223,0.7,0.47,0.67,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore multistadio o modulante,25.80,0.04097387173396678
333,9800900001516,01/04/2016,True,False,CASALMAIOCCO,,5,152,710,False,False,E.1(1),True,False,False,1.0,True,False,False,False,False,False,,Lombardia,CASALMAIOCCO,Via DANTE ALIGHIERI 23,0,,45.35313140957317,9.372909084714172,"(45.35313140957317, 9.372909084714172)",E,2015,101.93,0.0,584.85,0.0,True,False,False,True,False,False,yellow,green,False,A1,79.76,"B (90,22)",,0.16,15.2,34.46,772.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Fonti rinnovabili,No,27.4,4.0,72.63,,,,,,,0.0,,259.03,0.44,54.65,0.0,0.06,Generatore a combustione,2015.0,,Gas naturale,20.0,,,,,0.87,0.16,62.69,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2015.0,Gas naturale,20.0,0.95,0.0,17.07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,11.0,False,8.0,11.0,True,False,Matteo Euli,Diploma di geometra,Collegio dei geometri,10802200012312,11-DIC-12,"VIA PRINCIPALE, 49",MB,CORREZZANA,,3,Donato,Sangalli,NO,E.8,1986,Contratto di locazione,161,135,446.0,405,263.94,0.0638,0.7501,,0.95,3.2198,G,80.468,49.5487,4.8547,0,16.0741,8.1554,88.6234,0.62,0.14,0.57,Aerazione - Ventilazione naturale,1.8000,,,,,,,Gas naturale,Generatore tradizionale,34.80,0.018955333359070476
345,9801400002319,23/04/2019,False,True,CASTIGLIONE D'ADDA,,4,101,2,False,False,E.2,True,False,False,1.0,False,False,True,False,False,True,Annuncio commerciale,Lombardia,CASTIGLIONE D`ADDA,via Crema 17,,,,,,E,1961-1976,53.96,0.0,221.74,0.0,True,False,False,True,True,False,red,yellow,False,F,586.82,"B (182,79)",,21.72,114.53,2493.18,2567.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,10.0,9.0,530.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,212.34,0.96,349.28,0.05,0.0,Generatore a combustione,2015.0,,Gas naturale,25.7,,,,,0.7,1.04,498.45,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2015.0,Gas naturale,25.7,0.87,0.01,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.86,,20.67,85.77,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,,False,,,True,False,Marco Aggugini,Diploma di geometra,Collegio dei geometri,1316900001513,11-GIU-13,PIAZZA EUROPA,CO,OLTRONA DI SAN MAMETTE,,9,Marco,Canavesi,NO,E.1(1),1977-1992,Altro,78.64,64.1,247.72,173.07,204.14,0.0429,0.9635,,1.15,3.222,G,220.1783,166.2315,3.3404,0,43.9891,34.0067,254.185,0.75,0.63,0.74,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,24.00,0.038617311858340476
351,1316900002319,14/11/2019,True,False,OLTRONA DI SAN MAMETTE,,4,101,11,False,False,E.1 (1),True,False,False,6.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,OLTRONA DI SAN MAMETTE,PIAZZA EUROPA 8,,,45.75678669683639,8.977042948447194,"(45.75678669683639, 8.977042948447194)",E,1977-1992,60.5,0.0,221.85,0.0,True,False,False,True,False,False,red,yellow,False,E,169.59,"B (69,98)",,0.0,32.27,0.0,983.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,Fabbricato - involucro trasparente,No,10.0,8.0,155.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,123.75,0.56,112.22,0.03,0.15,Generatore a combustione,2009.0,BT5N840468954303,Gas naturale,24.6,,,,,0.77,0.0,145.12,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2009.0,Gas naturale,24.6,0.82,0.0,24.47,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,2.0,False,3.0,2.0,True,False,GIUSEPPE ALOISIO,Diploma di laurea in ingegneria,,1807800006714,30-GIU-14,"VIA MILANO, 86",PV,LANDRIANO,,3,Carlo,Migliavacca,NO,E.1(1),1946-1960,Trasferimento a titolo oneroso,84.89,70.26,292.87,210.78,124.42,0.1334,1.3365,,0.77,3.2387,G,229.7553,166.7348,20.5907,0,45.9011,35.5068,265.2621,0.73,0.59,0.71,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore multistadio o modulante,26.70,0.005414141414141428
375,10801200055119,08/11/2019,True,False,BRUGHERIO,,2,280,701,False,False,E.1 (1),True,False,False,1.0,False,False,False,True,False,True,Comunicazione Fine Lavori,Lombardia,BRUGHERIO,via Montello 24,T-S1,,45.56658903506413,9.304558559385043,"(45.56658903506413, 9.304558559385042)",E,Dopo il 2006,124.86,70.0,520.79,310.24,True,True,False,True,False,False,yellow,green,False,A2,77.18,"A1 (94,79)",,7.3,14.81,255.82,875.47,0.0,0.0,0.0,0.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,10.0,3.0,73.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.48,elettricità,439.3,0.84,52.86,0.01,0.02,Generatore a combustione,2019.0,,Gas naturale,22.0,Pompa di calore,2019.0,Energia elettrica,11.32,0.91,0.53,58.0,Pompa di calore,2019.0,Energia elettrica,8.0,,,,,2.61,6.67,3.89,Generatore a combustione,2019.0,Gas naturale,22.0,1.0,0.09,15.29,,,,,,,,Fotovoltaico,,Energia elettrica,1.87,,,,Pompa di calore,2019.0,Energia elettrica,11.32,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,12.0,False,5.0,12.0,True,False,Matteo Marchitelli,Diploma di laurea in architettura,Ordine degli architetti,1510500037112,26-APR-12,"VIA CESARE PAVESE, 17",MI,GARBAGNATE MILANESE,,4,Virgilio,Bontempo,NO,E.1(1),1993-2006,Altro,232.86,192.17,738.75,518.91,439.96,0.0747,0.7287,0.74,0.77,3.2601,F,167.5739,131.6265,17.5186,0,33.4791,25.4537,193.0276,0.79,0.65,0.77,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,25.50,0.0015023901661733853
