nan,prov,comune,boh,dd,zona
,VA,Agra,655,3029,F 
,VA,Albizzate,334,2605,E 
,VA,Angera,205,2433,E 
,VA,Arcisate,381,2651,E 
,VA,Arsago Seprio,290,2525,E 
,VA,Azzate,332,2602,E 
,VA,Azzio,399,2676,E 
,VA,Barasso,401,2679,E 
,VA,Bardello,263,2513,E 
,VA,Bedero Valcuvia,520,2764,E 
,VA,Besano,350,2608,E 
,VA,Besnate,300,2761,E 
,VA,Besozzo,258,2506,E 
,VA,Biandronno,262,2512,E 
,VA,Bisuschio,345,2620,E 
,VA,Bodio Lomnago,273,2521,E 
,VA,Brebbia,225,2461,E 
,VA,Bregano,303,2543,E 
,VA,Brenta,276,2531,E 
,VA,Brezzo di Bedero,352,2668,E 
,VA,Brinzio,510,2751,E 
,VA,Brissago-Valtravaglia,429,2772,E 
,VA,Brunello,411,2711,E 
,VA,Brusimpiano,289,2527,E 
,VA,Buguggiate,306,2567,E 
,VA,Busto Arsizio,226,2861,E 
,VA,Cadegliano-Viconago,414,2705,E 
,VA,Cadrezzate,281,2513,E 
,VA,Cairate,276,2525,E 
,VA,Cantello,404,2702,E 
,VA,Caravate,296,2559,E 
,VA,Cardano al Campo,240,2880,E 
,VA,Carnago,354,2633,E 
,VA,Caronno Pertusella,194,2352,E 
,VA,Caronno Varesino,403,2700,E 
,VA,Casale Litta,382,2671,E 
,VA,Casalzuigno,350,2608,E 
,VA,Casciago,426,2713,E 
,VA,Casorate Sempione,282,2938,E 
,VA,Cassano Magnago,261,2909,E 
,VA,Cassano Valcuvia,296,2534,E 
,VA,Castellanza,216,2847,E 
,VA,Castello Cabiaglio,514,2756,E 
,VA,Castelseprio,310,2572,E 
,VA,Castelveccana,257,2505,E 
,VA,Castiglione Olona,307,2568,E 
,VA,Castronno,325,2593,E 
,VA,Cavaria con Premezzo,268,2716,E 
,VA,Cazzago Brabbia,265,2491,E 
,VA,Cislago,237,2876,E 
,VA,Cittiglio,254,2501,E 
,VA,Clivio,468,2693,E 
,VA,Cocquio-Trevisago,291,2552,E 
,VA,Comabbio,307,2549,E 
,VA,Comerio,382,2652,E 
,VA,Cremenaga,272,2543,E 
,VA,Crosio della Valle,322,2589,E 
,VA,Cuasso al Monte,530,2778,E 
,VA,Cugliate-Fabiasco,516,2759,E 
,VA,Cunardo,450,2666,E 
,VA,Curiglia con Monteviasco,670,3050,F 
,VA,Cuveglio,294,2531,E 
,VA,Cuvio,309,2577,E 
,VA,Daverio,327,2596,E 
,VA,Dumenza,411,2692,E 
,VA,Duno,530,2778,E 
,VA,Fagnano Olona,265,2915,E 
,VA,Ferno,211,2840,E 
,VA,Ferrera di Varese,299,2569,E 
,VA,Gallarate,238,2877,E 
,VA,Galliate Lombardo,335,2607,E 
,VA,Gavirate,261,2511,E 
,VA,Gazzada Schianno,368,2652,E 
,VA,Gemonio,303,2569,E 
,VA,Gerenzano,226,2437,E 
,VA,Germignaga,204,2433,E 
,VA,Golasecca,280,2935,E 
,VA,Gorla Maggiore,258,2905,E 
,VA,Gorla Minore,237,2876,E 
,VA,Gornate Olona,303,2562,E 
,VA,Grantola,250,2632,E 
,VA,Inarzo,261,2485,E 
,VA,Induno Olona,394,2669,E 
,VA,Ispra,220,2454,E 
,VA,Jerago con Orago,324,2591,E 
,VA,Lavena Ponte Tresa,275,2507,E 
,VA,Laveno-Mombello,205,2433,E 
,VA,Leggiuno,240,2482,E 
,VA,Lonate Ceppino,287,2540,E 
